execution,method,dimension,dataset,dataset_size,accuracy,kappa,f1,macro-f1,time
0,hashing-tricks,100,amazon,10000,0.5644,0.1261151460856218,0.6102210686476326,0.37222642011798496,9.000068664550781
0,glove,100,amazon,10000,0.6464,0.2950924720660456,0.6062158850395456,0.4284676551414102,11.578280687332153
1,hashing-tricks,100,amazon,10000,0.5588,0.116881105895443,0.6091964206609374,0.3675895017140376,8.647938251495361
1,glove,100,amazon,10000,0.6549,0.31038410466335026,0.6158129175946548,0.43420886768235173,11.585338592529297
2,hashing-tricks,100,amazon,10000,0.5739,0.14756911056928865,0.623951990115612,0.3774963794155563,8.640611171722412
2,glove,100,amazon,10000,0.6584,0.31705081991587764,0.6226248342907644,0.4368890734442008,11.649356126785278
3,hashing-tricks,100,amazon,10000,0.5623,0.12302099930925647,0.6158707865168539,0.36911040856475585,8.631192922592163
3,glove,100,amazon,10000,0.6634,0.327623593859881,0.6354674466471671,0.4409581929636173,11.62745475769043
4,hashing-tricks,100,amazon,10000,0.5634,0.12615950987435742,0.6142970751966069,0.370472518116292,9.214725017547607
4,glove,100,amazon,10000,0.65,0.300527681916762,0.6109196041365507,0.43097041501989447,11.75132942199707
5,hashing-tricks,100,amazon,10000,0.5506,0.10177929845925159,0.5998040438229268,0.36249738077271293,8.607239484786987
5,glove,100,amazon,10000,0.6555,0.3107922038494606,0.620537681798149,0.4350493789337844,11.61002230644226
6,hashing-tricks,100,amazon,10000,0.5579,0.11313881337451656,0.6067615658362988,0.3673411940160651,8.636005401611328
6,glove,100,amazon,10000,0.6577,0.31727337455116644,0.6224624889673435,0.4364769796329188,11.733732223510742
7,hashing-tricks,100,amazon,10000,0.5585,0.11879061746531051,0.6046386675024626,0.36828837225927497,8.647584199905396
7,glove,100,amazon,10000,0.6533,0.30542422212321013,0.6077610589433193,0.43239586074693676,11.64753770828247
8,hashing-tricks,100,amazon,10000,0.5614,0.12034294190533004,0.6107412339103417,0.3695219424842731,9.045108318328857
8,glove,100,amazon,10000,0.6658,0.3325869703881899,0.6477596204533475,0.4432992406773983,11.694050312042236
9,hashing-tricks,100,amazon,10000,0.5658,0.12746931759520003,0.6188553370786517,0.3714994727638726,8.616363763809204
9,glove,100,amazon,10000,0.6482,0.2987357848730292,0.6186036426712922,0.43073331012476945,11.744293689727783
